product,source_a,time_frequency_a_Hz,time_order_a_n,spatial_order_a_m,source_b,time_frequency_b_Hz,time_order_b_n,spatial_order_b_m,contribution_real,contribution_imag,contribution_abs,stress,target_time_frequency_Hz,target_time_order_n,target_spatial_order_m,target_coeff_real,target_coeff_imag,target_coeff_abs,pair_rank,abs_fraction_of_target
-Btheta*Btheta/(2mu0),Btheta,0.0,0.0,20.999999999999996,Btheta,482.9797921254974,2.0,-62.999999999999986,255.17280883044026,-450.5284049011235,517.7731221192995,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,9,0.026968752539509103
-Btheta*Btheta/(2mu0),Btheta,482.9797921254974,2.0,-62.999999999999986,Btheta,0.0,0.0,20.999999999999996,255.1728088304402,-450.52840490112345,517.7731221192995,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,10,0.026968752539509103
Br*Br/(2mu0),Br,965.9595842509948,4.0,-20.999999999999996,Br,-482.9797921254974,-2.0,-20.999999999999996,-264.00581565573304,425.399834549038,500.663649503734,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,11,0.02607758783176597
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,-20.999999999999996,Br,965.9595842509948,4.0,-20.999999999999996,-264.00581565573304,425.399834549038,500.663649503734,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,12,0.02607758783176597
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,20.999999999999996,Br,-241.4898960627487,-1.0,20.999999999999996,20860.166970636063,33603.3045301435,39551.59467566862,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,1,2.0600860179553804
Br*Br/(2mu0),Br,0.0,0.0,20.999999999999996,Br,-482.9797921254974,-2.0,20.999999999999996,-2611.211790769237,-4206.399225059606,4950.981867956531,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,2,0.2578770490789431
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,20.999999999999996,Br,0.0,0.0,20.999999999999996,-2611.2117907692373,-4206.399225059606,4950.981867956531,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,3,0.2578770490789431
Br*Br/(2mu0),Br,0.0,0.0,-20.999999999999996,Br,-482.9797921254974,-2.0,62.999999999999986,-1718.8116647341624,-3363.859644698645,3777.547517643996,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,4,0.19675749832781925
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,62.999999999999986,Br,0.0,0.0,-20.999999999999996,-1718.8116647341624,-3363.859644698645,3777.547517643996,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,5,0.19675749832781925
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,20.999999999999996,Btheta,-241.4898960627487,-1.0,20.999999999999996,818.1695118076891,2931.2299629308077,3043.2729824376543,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,6,0.15851204411229464
Br*Br/(2mu0),Br,-724.4696881882461,-3.0,20.999999999999996,Br,241.4898960627487,1.0,20.999999999999996,-599.3819583390381,-965.5575313289671,1136.4682478135628,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,7,0.05919413278704654
Br*Br/(2mu0),Br,241.4898960627487,1.0,20.999999999999996,Br,-724.4696881882461,-3.0,20.999999999999996,-599.381958339038,-965.5575313289669,1136.4682478135626,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,8,0.059194132787046536
-Btheta*Btheta/(2mu0),Btheta,0.0,0.0,-20.999999999999996,Btheta,-482.9797921254974,-2.0,62.999999999999986,255.17280883044032,450.52840490112357,517.7731221192996,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,9,0.02696875253950911
-Btheta*Btheta/(2mu0),Btheta,-482.9797921254974,-2.0,62.999999999999986,Btheta,0.0,0.0,-20.999999999999996,255.17280883044032,450.52840490112357,517.7731221192996,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,10,0.02696875253950911
Br*Br/(2mu0),Br,482.9797921254974,2.0,20.999999999999996,Br,-965.9595842509948,-4.0,20.999999999999996,-264.0058156557333,-425.39983454903813,500.66364950373423,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,11,0.026077587831765985
Br*Br/(2mu0),Br,-965.9595842509948,-4.0,20.999999999999996,Br,482.9797921254974,2.0,20.999999999999996,-264.0058156557333,-425.39983454903813,500.66364950373423,Fr,-482.9797921254974,-2.0,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774,12,0.026077587831765985
Br*Br/(2mu0),Br,241.4898960627487,1.0,-20.999999999999996,Br,482.9797921254974,2.0,-62.999999999999986,-4316.31209248255,-6198.400027219429,7553.192237534068,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,1,0.4622863378451598
Br*Br/(2mu0),Br,482.9797921254974,2.0,-62.999999999999986,Br,241.4898960627487,1.0,-20.999999999999996,-4316.312092482549,-6198.400027219428,7553.192237534066,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,2,0.4622863378451597
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,-20.999999999999996,Btheta,482.9797921254974,2.0,-62.999999999999986,-777.0102972599041,-684.2103244443721,1035.3206122376766,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,3,0.06336586694412272
-Btheta*Btheta/(2mu0),Btheta,482.9797921254974,2.0,-62.999999999999986,Btheta,241.4898960627487,1.0,-20.999999999999996,-777.010297259904,-684.2103244443721,1035.3206122376764,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,4,0.0633658669441227
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,20.999999999999996,Br,965.9595842509948,4.0,-104.99999999999997,150.53265568268435,205.7675139998337,254.95166256479553,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,5,0.015604087213473712
Br*Br/(2mu0),Br,965.9595842509948,4.0,-104.99999999999997,Br,-241.4898960627487,-1.0,20.999999999999996,150.53265568268435,205.76751399983368,254.9516625647955,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,6,0.01560408721347371
Br*Br/(2mu0),Br,0.0,0.0,20.999999999999996,Br,724.4696881882461,3.0,-104.99999999999997,149.60409777237322,205.19158657706464,253.93891641947837,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,7,0.015542102996474844
Br*Br/(2mu0),Br,724.4696881882461,3.0,-104.99999999999997,Br,0.0,0.0,20.999999999999996,149.60409777237322,205.1915865770646,253.93891641947835,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,8,0.015542102996474842
Br*Br/(2mu0),Br,1207.4494803137436,5.0,-146.99999999999997,Br,-482.9797921254974,-2.0,62.999999999999986,-76.05047374276145,-85.86074661828101,114.69848458609688,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,9,0.007020017593648209
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,62.999999999999986,Br,1207.4494803137436,5.0,-146.99999999999997,-76.05047374276145,-85.86074661828101,114.69848458609688,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,10,0.007020017593648209
Br*Br/(2mu0),Br,241.4898960627487,1.0,14.999999999999996,Br,482.9797921254974,2.0,-98.99999999999997,-11.64679023545256,-69.71830757578259,70.68444053693895,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,11,0.004326177612172562
Br*Br/(2mu0),Br,482.9797921254974,2.0,-98.99999999999997,Br,241.4898960627487,1.0,14.999999999999996,-11.646790235452562,-69.71830757578259,70.68444053693895,Fr,724.4696881882461,3.0,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178,12,0.004326177612172562
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,62.999999999999986,Br,-241.4898960627487,-1.0,20.999999999999996,-4316.312092482548,6198.400027219428,7553.192237534066,Fr,-724.4696881882461,-3.0,83.99999999999999,-9735.952973170937,13121.23365030338,16338.774519579178,1,0.4622863378451597
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,20.999999999999996,Br,-482.9797921254974,-2.0,62.999999999999986,-4316.312092482548,6198.400027219428,7553.192237534066,Fr,-724.4696881882461,-3.0,83.99999999999999,-9735.952973170937,13121.23365030338,16338.774519579178,2,0.4622863378451597
-Btheta*Btheta/(2mu0),Btheta,-482.9797921254974,-2.0,62.999999999999986,Btheta,-241.4898960627487,-1.0,20.999999999999996,-777.0102972599043,684.2103244443724,1035.3206122376769,Fr,-724.4696881882461,-3.0,83.99999999999999,-9735.952973170937,13121.23365030338,16338.774519579178,3,0.06336586694412273
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,20.999999999999996,Btheta,-482.9797921254974,-2.0,62.999999999999986,-777.0102972599043,684.2103244443724,1035.3206122376769,Fr,-724.4696881882461,-3.0,83.99999999999999,-9735.952973170937,13121.23365030338,16338.774519579178,4,0.06336586694412273
