time,calculated_Torque_Nm,reference_Torque_Stator_Nm,error_vs_reference_Torque_Stator_Nm_Nm,relative_error_vs_reference_Torque_Stator_Nm,reference_Torque_Rotor_Nm,error_vs_reference_Torque_Rotor_Nm_Nm,relative_error_vs_reference_Torque_Rotor_Nm
0.002933179999999999,-0.975495070582325,-0.9754965196239289,1.4490416039292242e-06,1.4854400551709352e-06,0.9754917367749257,-1.9509868073572507,-2.0000034175660066
0.003019449999999999,-0.9631705991806663,-0.9631720298621887,1.4306815224740532e-06,1.4853852459552382e-06,0.9631676933591552,-1.9263382925398216,-2.000003016942461
0.003105719999999999,-0.9620300901342181,-0.9620315204581308,1.4303239126434164e-06,1.4867744790339918e-06,0.9620277111297735,-1.9240578012639915,-2.0000024729063592
0.0031919899999999987,-0.9705966331614877,-0.9705980782943182,1.4451328305131739e-06,1.4889096350291358e-06,0.970594338038958,-1.9411909712004456,-2.000002364656829
0.0032782599999999986,-0.9799390738737743,-0.9799405373139487,1.4634401743762737e-06,1.4933969140491059e-06,0.979936317595152,-1.9598753914689264,-2.0000028127119824
0.0033645299999999984,-0.9840519099137149,-0.9840533872963023,1.4773825873781732e-06,1.5013236135869603e-06,0.9840486510389721,-1.9681005609526872,-2.000003311700839
0.0034507999999999982,-0.9732082411478952,-0.9732097098198683,1.4686719731482611e-06,1.5091012330940452e-06,0.9732049623390371,-1.9464132034869324,-2.0000033690835797
0.003537069999999998,-0.960099028938152,-0.9601004818059566,1.4528678046188404e-06,1.5132455739278293e-06,0.9600961380696407,-1.9201951670077926,-2.000003011019831
0.003623339999999998,-0.9576676506629322,-0.9576691014005154,1.4507375831751546e-06,1.5148630994291926e-06,0.9576653316643197,-1.9153329823272518,-2.000002421512543
0.0037096099999999977,-0.9657962746515831,-0.9657977385019192,1.4638503360586697e-06,1.5156903746008934e-06,0.9657940295641039,-1.931590304215687,-2.000002324602773
0.0037958799999999976,-0.9761416605898257,-0.9761431397429758,1.4791531501856525e-06,1.5153035348638747e-06,0.9761389565011568,-1.9522806170909823,-2.0000027701882512
0.0038821499999999974,-0.9820955219533631,-0.9820970089000006,1.4869466374856088e-06,1.514052709671793e-06,0.9820923046645577,-1.9641878266179207,-2.000003275953584
0.003968419999999998,-0.9754829804219356,-0.9754844559294041,1.4755074685401937e-06,1.512589421155242e-06,0.975479667157251,-1.9509626475791866,-2.0000033965492015
0.004054689999999998,-0.9631586029105328,-0.963160055966139,1.4530556061709277e-06,1.5086335829338126e-06,0.9631557190594635,-1.9263143219699963,-2.000002994169076
0.004140959999999998,-0.9620180055887376,-0.9620194491585284,1.443569790815502e-06,1.500561960652856e-06,0.9620156317884255,-1.9240336373771632,-2.0000024675277963
